geneID,variable,value
DBP8,goC,GO:0005634
DBP8,goC,GO:0032040
NOP10,goC,GO:0031429
NOP10,goC,GO:0090661
NOP10,goC,GO:0005730
NOP10,goC,GO:0005732
RPB11,goC,GO:0005665
SPB4,goC,GO:0030686
SPB4,goC,GO:0005730
SPB4,goC,GO:0005654
SPB4,goC,GO:0030687
ROK1,goC,GO:0030686
ROK1,goC,GO:0005730
ROK1,goC,GO:0005654
ROK1,goC,GO:0032040
DBP9,goC,GO:0005730
HAS1,goC,GO:0030686
HAS1,goC,GO:0005635
HAS1,goC,GO:0005730
HAS1,goC,GO:0030687
HAS1,goC,GO:0032040
DBP7,goC,GO:0005730
DBP7,goC,GO:0005634
DBP10,goC,GO:0005730
DBP10,goC,GO:0030687
HCA4,goC,GO:0005730
HCA4,goC,GO:0005634
HCA4,goC,GO:0032040
DRS1,goC,GO:0005730
DRS1,goC,GO:0030687
MAK5,goC,GO:0005730
EMG1,goC,GO:0030686
EMG1,goC,GO:0005737
EMG1,goC,GO:0005880
EMG1,goC,GO:0034399
EMG1,goC,GO:0005730
EMG1,goC,GO:0005654
EMG1,goC,GO:0005634
EMG1,goC,GO:0032040
NOG2,goC,GO:0005730
NOG2,goC,GO:0005654
NOG2,goC,GO:0005634
NOG2,goC,GO:0030687
FCF1,goC,GO:0005730
FCF1,goC,GO:0005654
FCF1,goC,GO:0032040
SEN1,goC,GO:0005737
SEN1,goC,GO:0035649
SEN1,goC,GO:0016604
SEN1,goC,GO:0005730
SEN1,goC,GO:0005634
SEN1,goC,GO:0005657
SEN1,goC,GO:0032040
RNT1,goC,GO:0005730
RNT1,goC,GO:0005654
RNT1,goC,GO:0005634
RVB2,goC,GO:0070209
RVB2,goC,GO:0000785
RVB2,goC,GO:0031011
RVB2,goC,GO:0035267
RVB2,goC,GO:0005634
RVB2,goC,GO:0097255
RVB2,goC,GO:0000812
ACL4,goC,GO:0005680
ACL4,goC,GO:0005737
ACL4,goC,GO:0005634
NUG1,goC,GO:0005730
NUG1,goC,GO:0005634
NUG1,goC,GO:0030687
JJJ1,goC,GO:0005737
JJJ1,goC,GO:0005829
JJJ1,goC,GO:0005739
JJJ1,goC,GO:0005730
POP4,goC,GO:0005655
POP4,goC,GO:0000172
POP4,goC,GO:0030677
SRD1,goC,GO:0005737
SRD1,goC,GO:0005634
SAM2,goC,GO:0005829
SAM2,goC,GO:0048269
CKA2,goC,GO:0032545
CKA2,goC,GO:0005829
CKA2,goC,GO:0005730
CKA2,goC,GO:0005654
CKA2,goC,GO:0005634
CKA2,goC,GO:0005956
CKA2,goC,GO:0032040
CKA2,goC,GO:0034456
CKA1,goC,GO:0032545
CKA1,goC,GO:0005829
CKA1,goC,GO:0005730
CKA1,goC,GO:0005654
CKA1,goC,GO:0005634
CKA1,goC,GO:0005956
CKA1,goC,GO:0032040
CKA1,goC,GO:0034456
POP5,goC,GO:0005737
POP5,goC,GO:0005655
POP5,goC,GO:0000172
RRP5,goC,GO:0030686
RRP5,goC,GO:0005730
RRP5,goC,GO:0005654
RRP5,goC,GO:0032040
MRT4,goC,GO:0005737
MRT4,goC,GO:0005730
MRT4,goC,GO:0005654
MRT4,goC,GO:0005634
MRT4,goC,GO:0030687
MRT4,goC,GO:0032040
AIR1,goC,GO:0005737
AIR1,goC,GO:0005730
AIR1,goC,GO:0031499
AIR2,goC,GO:0005730
AIR2,goC,GO:0031499
YAR1,goC,GO:0005737
YAR1,goC,GO:0030907
YAR1,goC,GO:0005634
YAR1,goC,GO:0033309
CIC1,goC,GO:0031429
CIC1,goC,GO:0005730
CIC1,goC,GO:0030687
CIC1,goC,GO:0000502
RRP40,goC,GO:0000177
RRP40,goC,GO:0000178
RRP40,goC,GO:0000176
RRP40,goC,GO:0005730
RRP40,goC,GO:0005634
RPA190,goC,GO:0005694
RPA190,goC,GO:0005654
RPA190,goC,GO:0005736
MTR3,goC,GO:0000177
MTR3,goC,GO:0000178
MTR3,goC,GO:0000176
MTR3,goC,GO:0005730
MTR3,goC,GO:0005634
MAK11,goC,GO:0016020
MAK11,goC,GO:0031965
MAK11,goC,GO:0005730
UTP30,goC,GO:0030686
UTP30,goC,GO:0005730
UTP30,goC,GO:0005634
UTP30,goC,GO:0032040
RVB1,goC,GO:0070209
RVB1,goC,GO:0000785
RVB1,goC,GO:0031011
RVB1,goC,GO:0035267
RVB1,goC,GO:0005634
RVB1,goC,GO:0097255
RVB1,goC,GO:0000812
RRP17,goC,GO:0005737
RRP17,goC,GO:0005730
NMD3,goC,GO:0005737
NMD3,goC,GO:0005829
NMD3,goC,GO:0005654
NMD3,goC,GO:0005634
RSA4,goC,GO:0005730
REH1,goC,GO:0005737
REH1,goC,GO:0030687
RRP7,goC,GO:0032545
RRP7,goC,GO:0005730
RRP7,goC,GO:0005654
RRP7,goC,GO:0005634
RRP7,goC,GO:0032040
RRP7,goC,GO:0034456
SSA3,goC,GO:0005737
SSA3,goC,GO:0005829
SSA3,goC,GO:0005634
SSA3,goC,GO:0005886
SSA4,goC,GO:0005737
SSA4,goC,GO:0005829
SSA4,goC,GO:0005634
SSA4,goC,GO:0005886
SSA1,goC,GO:0005737
SSA1,goC,GO:0005829
SSA1,goC,GO:0005576
SSA1,goC,GO:0009277
SSA1,goC,GO:0000329
SSA1,goC,GO:0005634
SSA1,goC,GO:0005886
SSA1,goC,GO:0005844
SSA1,goC,GO:0017053
SSA2,goC,GO:0005737
SSA2,goC,GO:0005829
SSA2,goC,GO:0005576
SSA2,goC,GO:0009277
SSA2,goC,GO:0000329
SSA2,goC,GO:0005739
SSA2,goC,GO:0005634
SSA2,goC,GO:0005886
SSA2,goC,GO:0005844
SSA2,goC,GO:0017053
RKM2,goC,GO:0005575
HIT1,goC,GO:0005737
HIT1,goC,GO:0005634
HIT1,goC,GO:0070761
GRC3,goC,GO:0090730
GRC3,goC,GO:0030874
GRC3,goC,GO:0005634
ARX1,goC,GO:0005737
ARX1,goC,GO:0005730
ARX1,goC,GO:0005654
ARX1,goC,GO:0005634
ARX1,goC,GO:0030687
XRN1,goC,GO:0005737
XRN1,goC,GO:0010494
XRN1,goC,GO:0005829
XRN1,goC,GO:0090512
XRN1,goC,GO:0005874
XRN1,goC,GO:0005634
XRN1,goC,GO:0000932
XRN1,goC,GO:0048471
CIA1,goC,GO:0097361
CIA1,goC,GO:0005737
CIA1,goC,GO:0005829
CIA1,goC,GO:0005634
RAT1,goC,GO:0090730
